 序号,所属区县,停车场编号,停车场类型,所属道路,泊位数量,大型泊位,小型泊位,起始地点,终止地点,开发时间-起,开发时间-止,负责人,联系电话,经营单位,收费时段1,收费时段2,收费标准1,收费标准2,备注,首次通过审批时间
252,平谷,6781,01,平谷北大街,48,0,48,,,2008/7/1,2008/7/1,,,,,,,,"平谷北大街南侧北侧路侧,",2008/9/23
253,平谷,6783,01,平翔路,12,0,12,,,2008/7/1,2008/7/1,,,,,,,,"交通支队西门东侧路侧,",2008/9/23
254,平谷,6785,01,新开街,176,0,176,,,2008/7/1,2008/7/1,,,,,,,,"新开街步行街南侧北侧路侧,",2008/9/23
255,平谷,6787,01,府前西街海关路口,10,0,10,,,2008/7/1,2008/7/1,,,,,,,,"海关路口南侧便道,",2008/9/23
256,东城,5099,01,国子监街,37,0,37,,,2008/7/1,2008/7/1,,,,,,,,"国子监街南侧路侧,",2008/9/23
257,东城,5105,01,海运仓胡同,80,0,80,,,2008/7/1,2008/7/1,,,,,,,,"海运仓胡同南侧北侧路侧,",2008/9/23
258,东城,5118,01,菊儿胡同,21,0,21,,,2008/7/1,2008/7/1,,,,,,,,"菊儿胡同南侧北侧路侧,",2008/9/23
259,东城,5124,01,东四十二条,20,0,20,,,2008/7/1,2008/7/1,,,,,,,,"东四十二条南侧北侧路侧,",2008/9/23
260,东城,5131,01,正义路,20,0,20,,,2008/7/1,2008/7/1,,,,,,,,"正义路东侧便道,",2008/9/23
261,东城,6789,01,干面胡同,38,0,38,,,2008/7/1,2008/7/1,,,,,,,,"干面胡同南侧北侧路侧,",2008/9/23
262,东城,5196,01,黄土岗胡同北侧道路,9,0,9,,,2008/7/1,2008/7/1,,,,,,,,"黄土岗胡同北侧道路南侧路侧,",2008/9/23
263,东城,5087,01,南河沿大街,107,0,107,,,2008/7/1,2008/7/1,,,,,,,,"南河沿大街东侧西侧便道,",2008/9/23
264,东城,5089,01,王府井大街,16,0,16,,,2008/7/1,2008/7/1,,,,,,,,"王府井大街东侧西侧便道,",2008/9/23
265,东城,5091,01,新大陆,20,0,20,,,2008/7/1,2008/7/1,,,,,,,,"新大陆东侧西侧便道,",2008/9/23
266,东城,5094,01,东总布胡同,17,0,17,,,2008/7/1,2008/7/1,,,,,,,,"东总布胡同北侧路侧,",2008/9/23
267,东城,5097,01,小羊毛胡同,4,0,4,,,2008/7/1,2008/7/1,,,,,,,,"小羊毛胡同东侧路侧,",2008/9/23
268,东城,5098,01,外交部街,45,0,45,,,2008/7/1,2008/7/1,,,,,,,,"外交部街南侧北侧路侧,",2008/9/23
269,东城,5100,01,台基厂大街,12,0,12,,,2008/7/1,2008/7/1,,,,,,,,"台基厂大街东侧便道,",2008/9/23
270,东城,5191,01,台基厂三条,37,0,37,,,2008/7/1,2008/7/1,,,,,,,,"台基厂三条南侧路侧,",2008/9/23
271,东城,5101,01,安德路,17,0,17,,,2008/7/1,2008/7/1,,,,,,,,"安德路南侧路侧,",2008/9/23
272,东城,5102,01,北河沿大街,59,0,59,,,2008/7/1,2008/7/1,,,,,,,,"北河沿大街西侧路侧,",2008/9/23
273,东城,5103,01,朝内南小街,78,0,78,,,2008/7/1,2008/7/1,,,,,,,,"朝内南小街西侧路侧,",2008/9/23
274,东城,5104,01,钱粮胡同,37,0,37,,,2008/7/1,2008/7/1,,,,,,,,"钱粮胡同北侧路侧,",2008/9/23
275,怀柔,6041,01,迎宾路,736,0,736,,,2008/7/1,2008/7/1,,,,,,,,"迎宾路东侧西侧路侧,",2008/9/23
276,东城,5162,01,外馆斜街,4,0,4,,,,,,,,,,,,"外馆斜街南侧路侧,",2008/9/23
277,东城,5164,01,香饵胡同,67,0,67,,,2008/7/1,2008/7/1,,,,,,,,"香饵胡同南侧北侧路侧,",2008/9/23
278,顺义,7148,01,中山北大街1,37,0,37,阳光恋人婚纱摄影门前西侧,晨曦婚纱摄影门前,2008/9/1,2008/9/1,,,,,,,,"东侧便道,",2008/9/23
279,东城,5165,01,帽儿胡同,20,0,20,,,,,,,,,,,,"帽儿胡同南侧北侧路侧,",2008/9/23
280,东城,5166,01,北新仓胡同,45,0,45,,,,,,,,,,,,"北新仓胡同北侧路侧,",2008/9/23
281,东城,5169,01,东内北小街,30,0,30,,,,,,,,,,,,"东内北小街东侧路侧,",2008/9/23
282,东城,5171,01,贡院东街,14,0,14,,,,,,,,,,,,"贡院东街西侧路侧,",2008/9/23
283,东城,5172,01,智德北巷,38,0,38,,,,,,,,,,,,"智德北巷南侧北侧路侧,",2008/9/23
284,东城,5173,01,青年湖北街东侧,21,0,21,,,,,,,,,,,,"青年湖北街东侧东侧西侧路侧,",2008/9/23
285,东城,5176,01,华丰胡同,4,0,4,,,,,,,,,,,,"华丰胡同南侧北侧路侧,",2008/9/23
286,东城,5177,01,花园胡同,10,0,10,,,,,,,,,,,,"花园胡同西侧路侧,",2008/9/23
287,东城,5178,01,豆瓣胡同,43,0,43,,,,,,,,,,,,"豆瓣胡同西侧路侧,",2008/9/23
288,东城,5181,01,北新桥三条,22,0,22,,,,,,,,,,,,"北新桥三条南侧北侧路侧,",2008/9/23
289,东城,5182,01,青龙胡同,21,0,21,,,,,,,,,,,,"青龙胡同南侧北侧路侧,",2008/9/23
290,顺义,7149,01,中山北大街2,39,0,39,新华书店门口前,婚庆公司门口前,2008/9/1,2008/9/1,,,,,,,,"西侧便道,",2008/9/23
291,顺义,7150,01,中山南大街4,30,0,30,胜利小区出入口处,旅店门门,2008/9/1,2008/9/1,,,,,,,,"东侧便道,",2008/9/23
292,西城,5780,01,广内风华豪景周边路,55,0,55,,,2008/6/1,2008/6/1,,,,,,,,"广内风华豪景周边路南侧西侧路侧,",2008/9/23
293,平谷,7151,01,西环北路东侧,32,0,32,迎宾环岛南,海关路口,2008/9/1,2008/9/1,,,,,,,,"东侧便道,",2008/9/23
294,东城,5193,01,交道口北二条,26,0,26,,,,,,,,,,,,"交道口北二条东侧北侧路侧,",2008/9/23
295,平谷,7152,01,西环北路,55,0,55,海关路口,迎宾环岛南,2008/9/1,2008/9/1,,,,,,,,"西侧便道,",2008/9/23
296,丰台,7001,01,临泓路,92,0,92,,,2008/7/1,2008/7/1,,,,,,,,"临泓路南侧北侧路侧,",2008/9/23
297,丰台,7002,01,嘉园路,143,0,143,,,2008/7/1,2008/7/1,,,,,,,,"嘉园路东侧西侧路侧,",2008/9/23
298,丰台,7003,01,马家堡路,55,0,55,,,2008/7/1,2008/7/1,,,,,,,,"马家堡路东侧西侧路侧,",2008/9/23
299,丰台,7004,01,顺三条,40,0,40,,,2008/7/1,2008/7/1,,,,,,,,"顺三条北侧路侧,",2008/9/23
300,丰台,7005,01,丰葆路,167,0,167,,,2008/7/1,2008/7/1,,,,,,,,"丰葆路东侧西侧路侧,",2008/9/23
301,通州,7018,01,运河西大街,150,0,150,果园环岛,滨河路,2008/7/1,2008/7/1,,,,,,,,"路侧,南侧北侧",2008/9/23
302,通州,7019,01,玉桥西路,30,0,30,运河西大街,梨园北街,2008/7/1,2008/7/1,,,,,,,,东侧西侧、路侧,2008/9/23
303,延庆,7020,01,庆园街,27,0,27,,,2008/7/1,2008/7/1,,,,,,,,"庆园街南侧北侧路侧,",2008/9/23
304,延庆,7022,01,湖南西路,6,0,6,,,2008/7/1,2008/7/1,,,,,,,,"湖南西路南侧路侧,",2008/9/23
305,东城,5057,01,东四十条,23,0,23,,,2008/6/1,2008/6/1,,,,,,,,"东四十条南侧便道,路侧,",2008/9/23
306,东城,5060,01,朝内大街,216,0,216,,,2008/6/1,2008/6/1,,,,,,,,"朝内大街南侧北侧路侧,",2008/9/23
307,东城,5062,01,什锦花园胡同,17,0,17,,,2008/6/1,2008/6/1,,,,,,,,"什锦花园胡同南侧北侧路侧,",2008/9/23
308,东城,5065,01,灯市口大街,98,0,98,,,2008/6/1,2008/6/1,,,,,,,,"灯市口大街南侧北侧路侧,",2008/9/23
309,昌平,5994,01,南环路,505,0,505,,,2008/7/1,2008/7/1,,,,,,,,"南环路南侧北侧路侧,",2008/9/23
310,东城,7153,01,革新里,48,0,48,,,2008/9/1,2008/9/1,,,,,,,,"北侧路侧,",2008/9/23
311,东城,7154,01,马家堡路,15,0,15,,,2008/9/1,2008/9/1,,,,,,,,"南侧北侧路侧,",2008/9/23
312,朝阳,6797,01,南磨房路,174,0,174,,,2008/7/1,2008/7/1,,,,,,,,"南磨房路南侧北侧路侧,",2008/9/23
313,东城,7155,01,景泰西里,80,0,80,,,2008/9/1,2008/9/1,,,,,,,,"东侧西侧路侧,",2008/9/23
314,昌平,6799,01,鼓楼南北大街,345,0,345,,,2008/7/1,2008/7/1,,,,,,,,"鼓楼南北大街东侧西侧路侧,",2008/9/23
315,朝阳,6801,01,芳园西路,180,0,180,,,2008/7/1,2008/7/1,,,,,,,,"芳园西路南侧北侧路侧,",2008/9/23
316,朝阳,6803,01,朝阳北路,522,0,522,,,2008/7/1,2008/7/1,,,,,,,,"朝阳北路南侧北侧路侧,",2008/9/23
317,东城,7156,01,培新街,28,0,28,,,2008/9/1,2008/9/1,,,,,,,,"南侧北侧路侧,",2008/9/23
318,朝阳,6805,01,河南大厦门前路,56,0,56,,,2008/7/1,2008/7/1,,,,,,,,"河南大厦门前路北侧路侧,",2008/9/23
319,顺义,7157,01,新顺南大街7,41,0,41,祥云天地商场北门,祥云天地商场门口南侧,2008/9/1,2008/9/1,,,,,,,,"西侧便道,",2008/9/23
320,东城,7158,01,东花市东街,26,0,26,,,2008/9/1,2008/9/1,,,,,,,,"西侧路侧,",2008/9/23
321,东城,7159,01,崇文门东大街,30,0,30,,,2008/9/1,2008/9/1,,,,,,,,"南侧路侧,",2008/9/23
322,东城,7160,01,金鱼池中街,27,0,27,,,2008/9/1,2008/9/1,,,,,,,,"西侧路侧,",2008/9/23
323,东城,7162,01,南花市大街,29,0,29,,,2008/9/1,2008/9/1,,,,,,,,"西侧便道,",2008/9/23
324,平谷,7163,01,康乐街,96,0,96,,,2008/9/1,2008/9/1,,,,,,,,"东侧西侧路侧,",2008/9/23
325,平谷,7164,01,新平北路,224,0,224,,,2008/9/1,2008/9/1,,,,,,,,"北侧南侧便道,",2008/9/23
326,顺义,7165,01,站前东街4,22,0,22,工商银行门口,工商银行门口西侧,2008/9/1,2008/9/1,,,,,,,,"北侧便道,",2008/9/23
327,顺义,7166,01,站前东街5,20,0,20,新华书店门前,北京银行门前,2008/9/1,2008/9/1,,,,,,,,"北侧便道,",2008/9/23
328,东城,7161,01,广渠门中学门前道路,62,0,62,,,2008/9/1,2008/9/1,,,,,,,,"北侧南侧路侧,",2008/9/23
329,东城,5071,01,东华门大街,69,0,69,,,2008/6/1,2008/6/1,,,,,,,,"东华门大街南侧北侧路侧,",2008/9/23
330,东城,5072,01,贡院西街,22,0,22,,,2008/6/1,2008/6/1,,,,,,,,"贡院西街西侧路侧,",2008/9/23
331,东城,5078,01,东直门外大街,34,0,34,,,2008/6/1,2008/6/1,,,,,,,,"东直门外大街南侧路侧,",2008/9/23
332,东城,5079,01,上龙西里东街,23,0,23,,,2008/6/1,2008/6/1,,,,,,,,"上龙西里东街西侧路侧,",2008/9/23
333,东城,6711,01,北官厅胡同,14,0,14,,,2008/6/1,2008/6/1,,,,,,,,"北官厅胡同南侧路侧,",2008/9/23
334,东城,6713,01,和平里东街,95,0,95,,,2008/6/1,2008/6/1,,,,,,,,"和平里东街东侧西侧便道,路侧,",2008/9/23
335,东城,5086,01,美术馆后街,102,0,102,,,2008/6/1,2008/6/1,,,,,,,,"美术馆后街西侧南侧北侧便道,路侧,",2008/9/23
336,房山,5978,01,拱辰大街,144,0,144,,,2008/9/1,2008/9/1,,,,,,,,"拱辰大街东侧西侧路侧,",2008/9/23
337,房山,5979,01,良乡西路,156,0,156,,,2008/9/1,2008/9/1,,,,,,,,"良乡西路南侧北侧路侧,",2008/9/23
338,房山,5980,01,良乡政通东路,71,0,71,,,2008/7/1,2008/7/1,,,,,,,,"良乡政通东路南侧北侧路侧,",2008/9/23
339,房山,5981,01,良乡政通西路,120,0,120,,,2008/9/1,2008/9/1,,,,,,,,"良乡政通西路东侧西侧路侧,",2008/9/23
340,房山,5984,01,良乡北关西路,90,0,90,,,2008/9/1,2008/9/1,,,,,,,,"良乡北关西路南侧北侧路侧,",2008/9/23
341,房山,5983,01,燕房路,16,0,16,,,2008/7/1,2008/7/1,,,,,,,,"燕房路东侧路侧,",2008/9/23
342,门头沟,6715,01,城子大街,274,0,274,,,2008/7/1,2008/7/1,,,,,,,,"城子大街东侧西侧路侧,",2008/9/23
343,门头沟,6008,01,新桥大街,119,0,119,,,2008/7/1,2008/7/1,,,,,,,,"新桥大街东侧西侧路侧,",2008/9/23
344,门头沟,6009,01,新桥南大街,150,0,150,,,2008/7/1,2008/7/1,,,,,,,,"新桥南大街东侧西侧路侧,",2008/9/23
345,门头沟,6010,01,双峪路,34,0,34,,,2008/7/1,2008/7/1,,,,,,,,"双峪路南侧路侧,",2008/9/23
346,门头沟,6012,01,汽车十场路,44,0,44,,,2008/7/1,2008/7/1,,,,,,,,"汽车十场路南侧路侧,",2008/9/23
347,大兴,6023,01,兴政大街,46,0,46,,,2008/7/1,2008/7/1,,,,,,,,"兴政大街南侧北侧路侧,",2008/9/23
348,大兴,6025,01,兴业大街,61,0,61,,,2008/7/1,2008/7/1,,,,,,,,"兴业大街东侧西侧路侧,",2008/9/23
349,大兴,6015,01,兴华大街,17,0,17,,,2008/7/1,2008/7/1,,,,,,,,"兴华大街东侧路侧,",2008/9/23
350,大兴,6719,01,团结巷,4,0,4,,,2008/7/1,2008/7/1,,,,,,,,"团结巷东侧路侧,",2008/9/23
351,大兴,6017,01,东西大街,56,0,56,,,2008/7/1,2008/7/1,,,,,,,,"东西大街南侧北侧路侧,",2008/9/23
352,大兴,6021,01,市场路,113,0,113,,,2008/7/1,2008/7/1,,,,,,,,"市场路东侧西侧路侧,",2008/9/23
353,大兴,6014,01,兴丰大街,134,0,134,,,2008/7/1,2008/7/1,,,,,,,,"兴丰大街东侧西侧路侧,",2008/9/23
354,大兴,6020,01,丽园路,67,0,67,,,2008/7/1,2008/7/1,,,,,,,,"丽园路南侧北侧路侧,",2008/9/23
355,大兴,6721,01,宏旭路,109,0,109,,,2008/7/1,2008/7/1,,,,,,,,"宏旭路南侧北侧路侧,",2008/9/23
356,大兴,6024,01,市场路东巷,24,0,24,,,2008/7/1,2008/7/1,,,,,,,,"市场路东巷北侧路侧,",2008/9/23
357,大兴,6723,01,金辅路,71,0,71,,,2008/7/1,2008/7/1,,,,,,,,"金辅路东侧西侧路侧,",2008/9/23
358,石景山,7121,01,严正街,74,0,74,严正街北口,严正街南口,2008/9/1,2008/9/1,,,,,,,,路侧 ,2008/9/23
359,石景山,7122,01,老山南路,98,0,98,,,2008/9/1,2008/9/1,,,,,,,,路侧 ,2008/9/23
360,房山,7171,01,西潞北大街,46,0,46,,,2008/9/1,2008/9/1,,,,,,,,东侧便道,2008/9/23
361,通州,6725,01,西海子西街,20,0,20,新华大街,通惠河,2008/7/1,2008/7/1,,,,,,,,"西海子西街东侧路侧,",2008/9/23
362,通州,6727,01,新华大街,145,0,145,西门,银地,2008/7/1,2008/7/1,,,,,,,,"新华大街南侧北侧路侧,",2008/9/23
363,通州,6729,01,新华南北路,461,0,461,北关,果园环岛,2008/7/1,2008/7/1,,,,,,,,"新华南北路东侧西侧路侧,",2008/9/23
364,通州,6731,01,玉带河大街,370,0,370,京塘路,滨河路,2008/7/1,2008/7/1,,,,,,,,"玉带河大街南侧北侧路侧,",2008/9/23
365,海淀,7126,01,中关村北二街,50,0,50,,,2008/9/1,2008/9/1,,,,,,,,"中关村北二街东侧西侧路侧,",2008/9/23
366,顺义,7167,01,建新东街2,38,0,38,农业商业银行北门,农业商业银行东侧,2008/9/1,2008/9/1,,,,,,,,南侧便道,2008/9/23
367,顺义,7168,01,光明南街2,68,0,68,顺义区体育局院内北侧,顺义区体育局院内南侧,2008/9/1,2008/9/1,,,,,,,,东侧便道,2008/9/23
368,怀柔,6043,01,南华大街,196,0,196,,,2008/7/1,2008/7/1,,,,,,,,"南华大街南侧北侧路侧,",2008/9/23
369,怀柔,6044,01,滨湖北街,245,0,245,,,2008/7/1,2008/7/1,,,,,,,,"滨湖北街南侧北侧路侧,",2008/9/23
370,怀柔,6046,01,富乐北大街,192,0,192,,,2008/7/1,2008/7/1,,,,,,,,"富乐北大街南侧北侧路侧,",2008/9/23
371,怀柔,6047,01,富乐大街,243,0,243,,,2008/7/1,2008/7/1,,,,,,,,"富乐大街南侧北侧路侧,",2008/9/23
372,怀柔,6048,01,兴怀大街,255,0,255,,,2008/7/1,2008/7/1,,,,,,,,"兴怀大街南侧北侧路侧,",2008/9/23
373,怀柔,6791,01,府前西街,46,0,46,,,2008/7/1,2008/7/1,,,,,,,,"府前西街南侧北侧路侧,",2008/9/23
374,怀柔,6793,01,府前东街,132,0,132,,,2008/7/1,2008/7/1,,,,,,,,"府前东街南侧北侧路侧,",2008/9/23
375,朝阳,5810,01,幸福村中路,123,0,123,,,2008/7/1,2008/7/1,,,,,,,,"幸福村中路南侧北侧路侧,",2008/9/23
376,东城,6950,01,前拐棒胡同,20,0,20,,,2008/7/1,2008/7/1,,,,,,,,"前拐棒胡同东侧西侧路侧,",2008/9/23
377,东城,5198,01,旧鼓楼东大街,7,0,7,,,,,,,,,,,,"旧鼓楼东大街南侧便道,",2008/9/23
378,东城,6951,01,车辇店胡同,12,0,12,,,2008/7/1,2008/7/1,,,,,,,,"车辇店胡同南侧北侧路侧,",2008/9/23
379,东城,6953,01,南竹杆胡同,56,0,56,,,2008/7/1,2008/7/1,,,,,,,,"南竹杆胡同南侧北侧路侧,",2008/9/23
380,东城,6954,01,南锣鼓巷,2,0,2,,,2008/7/1,2008/7/1,,,,,,,,"南锣鼓巷东侧路侧,",2008/9/23
381,东城,6955,01,东水井胡同,113,0,113,,,2008/7/1,2008/7/1,,,,,,,,"东水井胡同东侧西侧路侧,",2008/9/23
382,东城,6957,01,王家园胡同,50,0,50,,,2008/7/1,2008/7/1,,,,,,,,"王家园胡同南侧北侧路侧,",2008/9/23
383,海淀,5877,01,中关村东路,483,0,483,,,2008/6/1,2008/6/1,,,,,,,,"中关村东路东侧西侧路侧,",2008/9/23
384,海淀,5884,01,岭南路,71,0,71,,,2008/6/1,2008/6/1,,,,,,,,"岭南路北侧路侧,",2008/9/23
385,海淀,5886,01,花园东路,120,0,120,,,2008/6/1,2008/6/1,,,,,,,,"花园东路东侧西侧路侧,",2008/9/23
386,海淀,5888,01,羊坊店路,199,0,199,,,2008/6/1,2008/6/1,,,,,,,,"羊坊店路东侧西侧路侧,",2008/9/23
387,海淀,5897,01,万泉庄路,91,0,91,,,2008/6/1,2008/6/1,,,,,,,,"万泉庄路南侧北侧路侧,",2008/9/23
388,海淀,5905,01,南马坊西路,20,0,20,,,2008/6/1,2008/6/1,,,,,,,,"南马坊西路西侧路侧,",2008/9/23
389,海淀,5912,01,八里庄路,50,0,50,,,2008/6/1,2008/6/1,,,,,,,,"八里庄路南侧北侧路侧,",2008/9/23
390,海淀,5896,01,恩济庄西街,43,0,43,,,2008/6/1,2008/6/1,,,,,,,,"恩济庄西街东侧路侧,",2008/9/23
391,海淀,5911,01,恩济庄东街,38,0,38,,,2008/6/1,2008/6/1,,,,,,,,"恩济庄东街东侧路侧,",2008/9/23
392,海淀,5902,01,晾果厂路,12,0,12,,,2008/6/1,2008/6/1,,,,,,,,"晾果厂路西侧路侧,",2008/9/23
393,海淀,5885,01,阜成路,351,0,351,,,2008/6/1,2008/6/1,,,,,,,,"阜成路南侧北侧路侧,",2008/9/23
394,海淀,5892,01,北蜂窝路,107,0,107,,,2008/6/1,2008/6/1,,,,,,,,"北蜂窝路东侧西侧路侧,",2008/9/23
395,海淀,5922,01,紫竹院南路,20,0,20,,,2008/6/1,2008/6/1,,,,,,,,"紫竹院南路西侧路侧,",2008/9/23
396,海淀,5898,01,北洼路,135,0,135,,,2008/6/1,2008/6/1,,,,,,,,"北洼路东侧西侧路侧,",2008/9/23
397,海淀,5920,01,社会主义学院东侧路,35,0,35,,,2008/6/1,2008/6/1,,,,,,,,"社会主义学院东侧路西侧路侧,",2008/9/23
398,海淀,5917,01,大柳树路,171,0,171,,,2008/6/1,2008/6/1,,,,,,,,"大柳树路东侧西侧路侧,",2008/9/23
399,海淀,5894,01,文慧园北路,50,0,50,,,2008/6/1,2008/6/1,,,,,,,,"文慧园北路东侧路侧,",2008/9/23
400,海淀,5883,01,北太平庄路,100,0,100,,,2008/6/1,2008/6/1,,,,,,,,"北太平庄路东侧西侧路侧,",2008/9/23
401,海淀,5918,01,健安西路,63,0,63,,,2008/6/1,2008/6/1,,,,,,,,"健安西路北侧路侧,",2008/9/23
402,海淀,5890,01,志新东路,100,0,100,,,2008/6/1,2008/6/1,,,,,,,,"志新东路东侧西侧路侧,",2008/9/23
403,海淀,5914,01,成府路,78,0,78,,,2008/6/1,2008/6/1,,,,,,,,"成府路南侧路侧,",2008/9/23
404,海淀,5882,01,海淀路,19,0,19,,,2008/6/1,2008/6/1,,,,,,,,"海淀路南侧路侧,",2008/9/23
405,海淀,5878,01,长春桥路,124,0,124,,,2008/6/1,2008/6/1,,,,,,,,"长春桥路南侧北侧路侧,",2008/9/23
406,海淀,5921,01,花园北路,65,0,65,,,2009/5/1,2009/5/1,,,,,,,,"花园北路南侧路侧,",2009/5/6 13:54:56
407,海淀,7261,01,志新路,80,0,80,志新西路中口,志新东路北口,2009/5/1,2009/5/1,,,,,,,,志新路南侧北侧,2009/5/6 13:55:20
408,西城,7281,01,教子胡同,10,0,10,南横西街,广安门大街,2009/5/1,2009/5/1,,,,,,,,东侧、西侧路侧,2009/5/6 13:51:42
409,西城,7282,01,广安体育馆东侧路,55,0,55,白广路二条,登莱胡同,2009/5/1,2009/5/1,,,,,,,,东侧路侧,2009/5/6 13:51:55
410,西城,7284,01,白广路二条,18,0,18,广安体育馆东侧路,南线阁街,2009/5/1,2009/5/1,,,,,,,,西段南侧路侧,2009/5/6 13:52:21
411,西城,7285,01,登莱胡同,19,0,19,广安体育馆东侧路,南线阁街,2009/5/1,2009/5/1,,,,,,,,南侧路侧,2009/5/6 13:52:35
412,西城,7287,01,白广路二条,18,0,18,广安体育馆东侧路,南线阁街,2009/5/1,2009/5/1,,,,,,,,西段南侧路侧,2009/5/6 13:53:02
413,西城,7288,01,枣林前街东段,24,0,24,牛街,白广路,2009/5/1,2009/5/1,,,,,,,,东段北侧路侧,2009/5/6 13:53:17
414,西城,7289,01,樱桃三条,23,0,23,右安门内大街,白广路,2009/5/1,2009/5/1,,,,,,,,南侧路侧,2009/5/6 13:53:34
415,西城,5756,01,广安门外大街1,265,0,265,,,2009/5/1,2009/5/1,,,,,,,,"广安门外大街南侧北侧路侧,",2009/5/6 13:53:57
416,西城,6365,01,西便门内大街,6,0,6,,,2009/5/1,2009/5/1,,,,,,,,"西便门内大街东侧南洞庭饭庄东侧便道,",2009/5/6 13:54:10
417,西城,5792,01,枣林前街中段,46,0,46,,,2009/5/1,2009/5/1,,,,,,,,"枣林前街中段南侧北侧路侧,",2009/5/6 13:54:34
418,西城,7291,01,福丽特商业街,91,0,91,北三环中路,黄寺大街,2009/5/1,2009/5/1,,,,,,,,道路东西两侧路侧,2009/5/14 14:40:38
419,西城,7292,01,北营房中街,70,0,70,百万庄大街,阜成门外大街,2009/5/1,2009/5/1,,,,,,,,道路东路两侧路侧,2009/5/14 14:40:49
420,西城,7293,01,林家胡同,15,0,15,教场口街,安德路,2009/5/1,2009/5/1,,,,,,,,道路东侧路侧,2009/5/14 14:40:59
421,西城,7294,01,榆树馆西里,20,0,20,西直门外南路,榆树馆胡同,2009/5/1,2009/5/1,,,,,,,,道路东西两侧路侧,2009/5/14 14:41:09
422,西城,7295,01,奋斗小学前门路,27,0,27,,,2009/5/1,2009/5/1,,,,,,,,道路南北两侧路侧,2009/5/14 14:41:27
423,西城,7296,01,什坊小街,72,0,72,,,2009/5/1,2009/5/1,,,,,,,,道路南北两侧路侧路侧,2009/5/14 14:41:37
424,西城,7297,01,木樨地北滨河路,173,0,173,,,2009/5/1,2009/5/1,,,,,,,,道路两侧路侧,2009/5/14 14:41:48
425,西城,7300,01,真武庙头条,65,0,65,,,2009/5/1,2009/5/1,,,,,,,,道路南北两侧路侧,2009/5/14 14:44:02
426,西城,7301,01,真武庙三条,43,0,43,,,2009/5/1,2009/5/1,,,,,,,,道路南侧路侧,2009/5/14 14:44:12
427,西城,7302,01,华远东街,10,0,10,,,2009/5/1,2009/5/1,,,,,,,,道路西侧路侧,2009/5/14 14:44:22
428,西城,7304,01,柳荫街,66,0,66,,,2009/5/1,2009/5/1,,,,,,,,道路东侧路侧,2009/5/14 14:44:42
429,西城,7305,01,前海东沿,10,0,10,,,2009/5/1,2009/5/1,,,,,,,,道路南侧路侧,2009/5/14 14:44:54
430,西城,7306,01,马相胡同,43,0,43,,,2009/5/1,2009/5/1,,,,,,,,路侧,2009/5/14 14:45:05
431,西城,7307,01,五根檩胡同,18,0,18,,,2009/5/1,2009/5/1,,,,,,,,道路南侧路侧,2009/5/14 14:45:15
432,西城,7308,01,南草厂,53,0,53,,,2009/5/1,2009/5/1,,,,,,,,东西路侧,2009/5/14 14:45:25
433,西城,7309,01,桦皮厂,16,0,16,,,2009/5/1,2009/5/1,,,,,,,,东侧路侧,2009/5/14 14:45:35
434,西城,7310,01,大茶叶胡同,10,0,10,,,2009/5/1,2009/5/1,,,,,,,,道路北侧路侧,2009/5/14 14:45:45
435,西城,5713,01,月坛北街,285,0,285,,,2009/5/1,2009/5/1,,,,,,,,"月坛北街南侧北侧路侧,",2009/5/14 14:46:38
436,西城,5221,01,三里河路,246,0,246,,,2009/5/1,2009/5/1,,,,,,,,"三里河路东侧西侧路侧,",2009/5/14 14:46:29
437,西城,5711,01,三里河东路,281,0,281,,,2009/5/1,2009/5/1,,,,,,,,"三里河东路东侧西侧路侧,",2009/5/14 14:48:45
438,西城,5229,01,新街口外大街,167,0,167,,,2009/5/1,2009/5/1,,,,,,,,"新街口外大街东侧西侧路侧,",2009/5/14 14:46:58
439,西城,6633,01,闹市口大街,102,0,102,,,2009/5/1,2009/5/1,,,,,,,,"闹市口大街东侧西侧路侧,",2009/5/14 14:46:49
440,西城,5263,01,六铺炕大街,86,0,86,,,2009/5/1,2009/5/1,,,,,,,,"六铺炕大街北侧路侧,",2009/5/14 14:48:36
441,西城,5273,01,安德里,54,0,54,,,2009/5/1,2009/5/1,,,,,,,,"安德里南侧北侧路侧,",2009/5/14 14:47:28
442,西城,5247,01,京畿道胡同,56,0,56,,,2009/5/1,2009/5/1,,,,,,,,"京畿道胡同东侧西侧路侧,",2009/5/14 14:47:08
443,西城,5261,01,六铺炕南小街,47,0,47,,,2009/5/1,2009/5/1,,,,,,,,"六铺炕南小街南侧路侧,",2009/5/14 14:48:26
444,西城,5216,01,二龙路西巷,19,0,19,,,2009/5/1,2009/5/1,,,,,,,,"二龙路西巷北侧路侧,",2009/5/14 14:46:20
445,西城,5244,01,新风街,29,0,29,,,2009/5/1,2009/5/1,,,,,,,,新风街南侧北侧路侧 ,2009/5/14 14:48:16
446,西城,5257,01,西西大厦南侧路,7,0,7,,,2009/5/1,2009/5/1,,,,,,,,"西西大厦南侧路北侧 ,路侧,",2009/5/14 14:47:19
447,密云,6032,01,新西路,187,0,187,,,2009/5/1,2009/5/1,,,,,,,,"新西路东侧西侧路侧,",2009/5/14 14:47:38
448,密云,6811,01,新东路,224,0,224,,,2009/5/1,2009/5/1,,,,,,,,"新东路东侧西侧路侧,",2009/5/14 14:47:56
