 序号,所属区县,停车场编号,停车场类型,所属道路,泊位数量,大型泊位,小型泊位,起始地点,终止地点,开发时间-起,开发时间-止,负责人,联系电话,经营单位,收费时段1,收费时段2,收费标准1,收费标准2,备注,首次通过审批时间
812,海淀,7277,01,中直东路,25,0,25,万泉河路,中直,2011/5/1,2011/5/1,,,,,,,,中直东路南侧,2011/5/23 9:41:20
813,海淀,7420,01,后厂村路,140,0,140,永后路口,西北旺东路,2011/5/1,2011/5/1,,,,,,,,道路南侧北侧,2011/8/24 15:08:36
814,海淀,7421,01,西北旺三街,27,0,27,德政路,后厂村路,2011/5/1,2011/5/1,,,,,,,,道路西侧,2011/8/24 15:08:49
815,海淀,7425,01,龙背村路,160,0,160,龙背村地铁站,华欣超市口,2011/5/1,2011/5/1,,,,,,,,道路东西两侧,2011/8/24 15:09:05
816,海淀,7423,01,二龙闸路,40,0,40,派出所口,新建宫门,2011/5/1,2011/5/1,,,,,,,,道路西侧,2011/8/24 15:09:37
817,海淀,7424,01,西二旗北路,260,0,260,上地西路,西二旗西路北口,2011/5/1,2011/5/1,,,,,,,,道路南侧北侧,2011/8/24 15:09:51
818,石景山,7363,01,方地大厦路,7,0,7,,,2010/7/1,2010/7/1,,,,,,,,方地大厦路东侧南侧便道路侧,2010/9/16 11:01:32
819,石景山,7364,01,政达路,132,0,132,,,2010/7/1,2010/7/1,,,,,,,,政达路两侧路侧,2010/8/16 14:19:57
820,石景山,7365,01,银河东街,72,0,72,,,2010/8/1,2010/8/1,,,,,,,,银河东街两侧路侧,2010/8/16 14:20:16
821,石景山,7366,01,档案局北侧路,10,0,10,,,2010/7/1,2010/7/1,,,,,,,,档案局北侧路西侧路侧,2010/9/16 11:01:23
822,丰台,7367,01,育芳园北路,110,0,110,西三环辅路,育芳园西侧路北口,2010/7/1,2010/7/1,,,,,,,,南侧北侧路侧,2010/8/3 15:42:53
823,丰台,7368,01,南蜂窝路,20,0,20,会城门桥,广莲路,2010/8/1,2010/8/1,,,,,,,,西侧路侧,2010/8/3 15:49:23
824,丰台,7369,01,中核路,20,0,20,中环西路,内环西路,2010/8/1,2010/8/1,,,,,,,,北侧路侧,2010/8/3 15:50:46
825,丰台,7371,01,马家堡西路,160,0,160,,,2010/8/1,2010/8/1,,,,,,,,东侧西侧路侧,2010/8/3 15:51:03
826,丰台,7372,01,海户屯路,10,0,10,大红门路,南苑路,2010/8/1,2010/8/1,,,,,,,,北侧路侧,2010/8/3 15:50:27
827,石景山,5955,01,鲁谷路,640,0,640,,,2010/8/1,2010/8/1,,,,,,,,"路侧,",2010/8/16 14:20:32
828,石景山,6905,01,重聚路,110,0,110,鲁谷大街,重聚路西口,2010/8/1,2010/8/1,,,,,,,,"道路两侧路侧,路侧,",2010/9/16 11:04:38
829,石景山,6909,01,八角南路,74,0,74,八角东街,古城东街,2010/8/1,2010/8/1,,,,,,,,"道路南侧路侧,",2010/9/16 11:05:00
830,石景山,6911,01,七星东街,8,0,8,鲁谷南路,莲石东路北辅路,2010/8/1,2010/8/1,,,,,,,,"道路两侧路侧,",2010/8/16 14:29:31
831,东城,6703,01,安定门外大街,123,0,123,,,2010/8/1,2010/8/1,,,,,,,,"安定门外大街东侧西侧路侧,",2010/9/2 10:48:05
832,东城,5063,01,工体北路,52,0,52,,,2010/8/1,2010/8/1,,,,,,,,"工体北路北侧路侧,便道",2010/9/2 10:45:32
833,东城,5135,01,甘雨胡同,51,0,51,,,2010/8/1,2010/8/1,,,,,,,,"甘雨胡同南侧北侧路侧,",2010/9/6 17:03:54
834,东城,6956,01,东中街南段,62,0,62,,,2010/8/1,2010/8/1,,,,,,,,"东中街南段东侧西侧路侧,",2010/9/2 10:48:38
835,东城,5168,01,和平里南街西段,40,0,40,,,2010/8/1,2010/8/1,,,,,,,,"和平里南街西段南侧路侧,北侧路侧",2010/9/2 10:47:45
836,东城,6948,01,仓南胡同,50,0,50,,,2010/8/1,2010/8/1,,,,,,,,"仓南胡同南侧北侧路侧,",2010/9/2 10:55:26
837,东城,7375,01,仓夹道,79,0,79,,,2010/8/1,2010/8/1,,,,,,,,仓夹道东侧西侧路侧,2010/9/2 10:55:04
838,东城,5092,01,雍和宫大街,20,0,20,,,2010/8/1,2010/8/1,,,,,,,,雍和宫大街西侧便道,2010/9/2 10:49:11
839,石景山,7379,01,金顶路,47,0,47,金顶街中口,金顶路西口,2010/9/1,2010/9/1,,,,,,,,道路北侧,2010/9/16 11:04:26
840,西城,6293,01,广安胡同南端1,37,0,37,,,2010/12/1,2010/12/1,,,,,,,,"广安胡同南端东侧路侧,",2010/12/29 13:41:15
841,西城,7025,01,广安胡同北段2,52,0,52,,,2010/12/1,2010/12/1,,,,,,,,"广安胡同北段西侧路侧,",2010/12/29 13:48:16
842,西城,5772,01,范家胡同,33,0,33,,,2010/12/1,2010/12/1,,,,,,,,"范家胡同南侧北侧路侧,",2010/12/29 10:54:34
843,西城,5797,01,牛街四条,23,0,23,,,2010/12/1,2010/12/1,,,,,,,,"牛街四条南侧北侧路侧,",2010/12/29 13:40:37
844,西城,5758,01,南纬路,67,0,67,,,2010/12/1,2010/12/1,,,,,,,,"南纬路南侧北侧路侧,",2010/12/29 10:53:30
845,西城,6297,01,香厂路,26,0,26,,,2010/12/1,2010/12/1,,,,,,,,"香厂路南侧路侧,",2010/12/29 13:41:27
846,西城,5766,01,永定门内西街,19,0,19,,,2010/12/1,2010/12/1,,,,,,,,"永定门内西街北侧路侧,",2010/12/29 11:05:37
847,西城,7142,01,大方胡同,7,0,7,,,2011/5/1,2011/5/1,,,,,,,,"大方胡同南侧路侧,",2011/5/11 8:32:32
848,丰台,7370,01,大成路,32,0,32,西四环,青塔西路,2010/8/1 19:00:00,2010/8/1 7:00:00,,,,,,,,南侧北侧路侧,2010/8/3 15:50:03
